GAME_ID,TEAM_1,TEAM_2,TEAM_1_STRATEGY,TEAM_2_STRATEGY,TEAM_1_PTS,TEAM_2_PTS,WINNER
22300574,TOR,MIA,0,4,121,97,TOR
22300576,UTA,GSW,0,0,137,140,GSW
22300577,LAL,DAL,4,0,127,110,LAL
22300579,NYK,WAS,3,4,113,109,NYK
22300580,TOR,CHI,0,4,110,116,CHI
22300581,UTA,OKC,3,4,129,134,OKC
22300582,MIN,MEM,4,2,118,103,MIN
22300583,SAC,IND,2,4,121,126,IND
22300585,ORL,PHI,1,1,109,124,PHI
22300586,BOS,DEN,2,2,100,102,DEN
22300587,ATL,MIA,2,2,109,108,ATL
22300589,DAL,GSW,0,4,100,104,GSW
22300590,POR,IND,1,0,118,115,POR
22300592,MIL,DET,3,3,141,135,MIL
22300594,WAS,SAS,3,4,127,131,SAS
22300595,CLE,ATL,0,4,116,95,CLE
22300596,TOR,NYK,4,2,100,126,NYK
22300597,MEM,CHI,0,4,96,125,CHI
22300598,HOU,UTA,3,3,127,126,HOU
22300599,MIN,OKC,2,1,97,102,OKC
22300601,MIA,ORL,0,1,87,105,ORL
22300602,DEN,WAS,4,4,113,104,DEN
22300603,BOS,HOU,0,3,116,107,BOS
22300605,POR,LAL,1,1,110,134,LAL
22300606,MIL,DET,3,3,122,113,MIL
22300607,CLE,ORL,2,4,126,99,CLE
22300608,SAS,PHI,2,1,123,133,PHI
22300609,TOR,MEM,4,4,100,108,MEM
22300611,DAL,BOS,2,2,110,119,BOS
22300613,SAC,ATL,2,2,122,107,SAC
22300614,DEN,IND,2,1,114,109,DEN
22300616,UTA,NOP,3,3,124,153,NOP
22300617,OKC,POR,1,0,111,109,OKC
22300618,LAC,LAL,4,1,127,116,LAC
22300620,MIN,WAS,1,4,118,107,MIN
22300621,MEM,MIA,0,2,105,96,MEM
22300622,OKC,SAS,0,4,140,114,OKC
22300623,HOU,POR,3,3,131,137,POR
22300624,MIL,CLE,1,3,126,116,MIL
22300626,GSW,ATL,1,0,134,112,GSW
22300627,IND,PHI,3,3,134,122,IND
22300628,UTA,WAS,4,4,123,108,UTA
22300630,MIA,BOS,2,0,110,143,BOS
22300631,NYK,DEN,2,4,122,84,NYK
22300632,SAC,GSW,0,2,134,133,SAC
22300633,CHI,LAL,3,4,132,141,LAL
22300634,ATL,DAL,3,3,143,148,DAL
22300637,TOR,LAC,4,1,107,127,LAC
22300638,MEM,ORL,0,2,107,106,MEM
22300639,CLE,MIL,1,3,112,100,CLE
22300640,NOP,OKC,0,1,83,107,OKC
22300641,POR,SAS,3,4,100,116,SAS
22300642,WAS,DET,1,1,118,104,WAS
22300643,NYK,MIA,2,2,125,109,NYK
22300644,DEN,PHI,2,1,111,105,DEN
22300646,LAC,BOS,4,2,115,96,LAC
22300648,MIL,NOP,2,1,141,117,MIL
22300649,SAS,MIN,4,4,113,112,SAS
22300650,GSW,LAL,3,3,144,145,LAL
22300651,SAC,DAL,1,0,120,115,SAC
22300652,MEM,IND,1,4,110,116,IND
22300653,ATL,TOR,1,1,126,125,ATL
22300654,DET,OKC,1,1,120,104,DET
22300656,POR,CHI,2,4,96,104,CHI
22300658,CLE,LAC,0,0,118,108,CLE
22300659,NOP,BOS,1,0,112,118,BOS
22300662,HOU,LAL,3,3,135,119,HOU
22300663,SAC,MEM,2,2,103,94,SAC
22300664,MIN,OKC,1,2,107,101,MIN
22300665,WAS,SAS,4,4,118,113,WAS
22300666,ORL,DAL,2,2,129,131,DAL
22300667,DEN,MIL,4,2,113,107,DEN
22300668,POR,PHI,1,1,130,104,POR
22300669,ATL,LAL,3,3,138,122,ATL
22300670,IND,BOS,4,2,124,129,BOS
22300671,UTA,NYK,2,4,103,118,NYK
22300672,CHI,TOR,2,4,107,118,TOR
22300673,PHI,GSW,1,4,107,119,GSW
22300675,CLE,DET,2,2,128,121,CLE
22300676,WAS,LAC,1,1,109,125,LAC
22300678,MIA,SAC,4,0,115,106,MIA
22300679,NOP,HOU,2,2,110,99,NOP
22300680,MIN,DAL,4,2,121,87,MIN
22300681,SAS,ORL,4,4,98,108,ORL
22300682,OKC,DEN,1,2,105,100,OKC
22300683,MIL,POR,0,1,116,119,POR
22300684,LAL,BOS,4,0,114,105,LAL
22300685,NYK,IND,1,1,109,105,NYK
22300686,PHI,UTA,1,0,127,124,PHI
22300687,CLE,MEM,2,0,108,101,CLE
